name,type,use,height,floor,lat,lon,station_id,geometry
建筑-C01,building,residential,8,1,22.543500,114.036700,BLD-C001,"POLYGON ((114.036245 22.543045, 114.037155 22.543045, 114.037155 22.543955, 114.036245 22.543955, 114.036245 22.543045))"
建筑-C02,building,commercial,8,1,22.543500,114.038100,BLD-C002,"POLYGON ((114.037645 22.543045, 114.038555 22.543045, 114.038555 22.543955, 114.037645 22.543955, 114.037645 22.543045))"
建筑-C03,building,residential,8,1,22.543500,114.039500,BLD-C003,"POLYGON ((114.039045 22.543045, 114.039955 22.543045, 114.039955 22.543955, 114.039045 22.543955, 114.039045 22.543045))"
建筑-C04,building,commercial,8,1,22.543500,114.040900,BLD-C004,"POLYGON ((114.040445 22.543045, 114.041355 22.543045, 114.041355 22.543955, 114.040445 22.543955, 114.040445 22.543045))"
建筑-S09,building,residential,12,1,22.543500,114.047900,BLD-S005,"POLYGON ((114.047445 22.543045, 114.048355 22.543045, 114.048355 22.543955, 114.047445 22.543955, 114.047445 22.543045))"
建筑-S010,building,commercial,12,1,22.543500,114.049300,BLD-S006,"POLYGON ((114.048845 22.543045, 114.049755 22.543045, 114.049755 22.543955, 114.048845 22.543955, 114.048845 22.543045))"
建筑-V011,building,residential,10,1,22.543500,114.050700,BLD-V007,"POLYGON ((114.050245 22.543045, 114.051155 22.543045, 114.051155 22.543955, 114.050245 22.543955, 114.050245 22.543045))"
建筑-V012,building,commercial,10,1,22.543500,114.052100,BLD-V008,"POLYGON ((114.051645 22.543045, 114.052555 22.543045, 114.052555 22.543955, 114.051645 22.543955, 114.051645 22.543045))"
建筑-V016,building,commercial,10,1,22.543500,114.057700,BLD-V009,"POLYGON ((114.057245 22.543045, 114.058155 22.543045, 114.058155 22.543955, 114.057245 22.543955, 114.057245 22.543045))"
建筑-V021,building,residential,10,1,22.543500,114.064700,BLD-V010,"POLYGON ((114.064245 22.543045, 114.065155 22.543045, 114.065155 22.543955, 114.064245 22.543955, 114.064245 22.543045))"
建筑-C10,building,residential,8,2,22.542100,114.035300,BLD-C011,"POLYGON ((114.034845 22.541645, 114.035755 22.541645, 114.035755 22.542555, 114.034845 22.542555, 114.034845 22.541645))"
建筑-S15,building,commercial,12,2,22.542100,114.042300,BLD-S012,"POLYGON ((114.041845 22.541645, 114.042755 22.541645, 114.042755 22.542555, 114.041845 22.542555, 114.041845 22.541645))"
