name,type,use,height,floor,zone,lat,lon,station_id,geometry
城市河道-001,water,,,,,22.538202102,114.061105048,,"POLYGON ((113.3611050 21.8382021, 114.7611050 21.8382021, 114.7611050 23.2382021, 113.3611050 23.2382021, 113.3611050 21.8382021))"
中央广场-002,sidewalk,,,,,22.535229129,114.054667339,,"POLYGON ((113.3546673 21.8352291, 114.7546673 21.8352291, 114.7546673 23.2352291, 113.3546673 23.2352291, 113.3546673 21.8352291))"
道路-003,road,,,,,22.533907808,114.049660232,,"POLYGON ((113.3496602 21.8339078, 114.7496602 21.8339078, 114.7496602 23.2339078, 113.3496602 23.2339078, 113.3496602 21.8339078))"
道路-004,road,,,,,22.539853754,114.049660232,,"POLYGON ((113.3496602 21.8398538, 114.7496602 21.8398538, 114.7496602 23.2398538, 113.3496602 23.2398538, 113.3496602 21.8398538))"
道路-005,road,,,,,22.541175075,114.049660232,,"POLYGON ((113.3496602 21.8411751, 114.7496602 21.8411751, 114.7496602 23.2411751, 113.3496602 23.2411751, 113.3496602 21.8411751))"
主街-006,road,,,,,22.537211111,114.051448484,,"POLYGON ((113.3514485 21.8372111, 114.7514485 21.8372111, 114.7514485 23.2372111, 113.3514485 23.2372111, 113.3514485 21.8372111))"
道路-007,road,,,,,22.537541441,114.043937824,,"POLYGON ((113.3439378 21.8375414, 114.7439378 21.8375414, 114.7439378 23.2375414, 113.3439378 23.2375414, 113.3439378 21.8375414))"
道路-008,road,,,,,22.532586486,114.048229630,,"POLYGON ((113.3482296 21.8325865, 114.7482296 21.8325865, 114.7482296 23.2325865, 113.3482296 23.2325865, 113.3482296 21.8325865))"
道路-009,road,,,,,22.537541441,114.052521436,,"POLYGON ((113.3525214 21.8375414, 114.7525214 21.8375414, 114.7525214 23.2375414, 113.3525214 23.2375414, 113.3525214 21.8375414))"
道路-010,road,,,,,22.532256156,114.056813242,,"POLYGON ((113.3568132 21.8322562, 114.7568132 21.8322562, 114.7568132 23.2322562, 113.3568132 23.2322562, 113.3568132 21.8322562))"
人行道-01-011,sidewalk,,,,,22.536190090,114.049660232,,"POLYGON ((113.3496602 21.8361901, 114.7496602 21.8361901, 114.7496602 23.2361901, 113.3496602 23.2361901, 113.3496602 21.8361901))"
人行道-02-012,sidewalk,,,,,22.538232132,114.049660232,,"POLYGON ((113.3496602 21.8382321, 114.7496602 21.8382321, 114.7496602 23.2382321, 113.3496602 23.2382321, 113.3496602 21.8382321))"
人行道-03-013,sidewalk,,,,,22.539133033,114.051806135,,"POLYGON ((113.3518061 21.8391330, 114.7518061 21.8391330, 114.7518061 23.2391330, 113.3518061 23.2391330, 113.3518061 21.8391330))"
人行道-04-014,sidewalk,,,,,22.540574474,114.051806135,,"POLYGON ((113.3518061 21.8405745, 114.7518061 21.8405745, 114.7518061 23.2405745, 113.3518061 23.2405745, 113.3518061 21.8405745))"
红绿灯-01-015,lamp,,,,,22.536484384,114.043150993,,"POLYGON ((113.3431510 21.8364844, 114.7431510 21.8364844, 114.7431510 23.2364844, 113.3431510 23.2364844, 113.3431510 21.8364844))"
红绿灯-02-016,lamp,,,,,22.537937838,114.043150993,,"POLYGON ((113.3431510 21.8379378, 114.7431510 21.8379378, 114.7431510 23.2379378, 113.3431510 23.2379378, 113.3431510 21.8379378))"
